Algorithm , Instance , Model Solution Cost, Root Lower Bound , Root Gap (%), Root Time (s) , Time (s), K , Deterministic Cost , Model Recourse Cost , Optimal Recourse Cost , Classical Recourse Cost , Upper Bound , Lower Bound , Gap (%) , Node Count , CVRPSEP Cuts , CVRPSEP Time (s) , Partial Route Cuts , Partial Route Time (s) , Parada Path Cuts , Parada Set Cuts , Parada Time (s) , SRI Cuts , SRI Time (s) , Aggregated SRI Cuts , Aggregated SRI Time (s) , Solved
ILS , ./data/Jabali/k3/70_3_0.88_1_9.svrp , 807.24 , 747.545 , 7.39489 , 0.032 , 1000.12 , 3 , 793 , 14.24 , 13.69 , 14.24 , 807.24 , 763.292 , 5.44421 , 13893 , 1376 , 4.29125 , 3194 , 1.21656 , 0 , 2864 , 6.22824 , 0 , 0 , 0 , 0 , 0
SRI1 , ./data/Jabali/k3/70_3_0.88_1_9.svrp , 794.94 , 787.687 , 0.912374 , 59.43 , 65.011 , 3 , 791 , 3.94 , 3.94 , 3.94 , 794.94 , 794.94 , 0 , 1106 , 183 , 0.686013 , 97 , 0.040975 , 0 , 0 , 0 , 609 , 48.6062 , 284 , 0.720934 , 1
SRI2 , ./data/Jabali/k3/70_3_0.88_1_9.svrp , 794.94 , 787.687 , 0.912374 , 59.397 , 102.377 , 3 , 791 , 3.94 , 3.94 , 3.94 , 794.94 , 794.94 , 0 , 4014 , 406 , 1.45819 , 307 , 13.2892 , 0 , 0 , 0 , 609 , 48.7316 , 615 , 2.52885 , 1
ILS+SRI , ./data/Jabali/k3/70_3_0.88_1_9.svrp , 794.94 , 787.687 , 0.912374 , 59.379 , 99.713 , 3 , 791 , 3.94 , 3.94 , 3.94 , 794.94 , 794.94 , 0 , 2075 , 293 , 1.01328 , 264 , 12.094 , 0 , 0 , 0 , 609 , 48.7013 , 665 , 4.4513 , 1
ILS , ./data/Jabali/k3/70_3_0.90_1_0.svrp , 814.05 , 717.524 , 11.8575 , 0.017 , 1000.1 , 3 , 740 , 74.05 , 70.1 , 74.05 , 814.05 , 752.471 , 7.56449 , 14943 , 1248 , 4.93861 , 3781 , 1.56156 , 0 , 3291 , 6.76432 , 0 , 0 , 0 , 0 , 0
SRI1 , ./data/Jabali/k3/70_3_0.90_1_0.svrp , 802.3 , 773.067 , 3.64367 , 60.113 , 1000.14 , 3 , 783 , 19.3 , 17.31 , 19.3 , 802.3 , 790.674 , 1.44909 , 38982 , 968 , 12.3924 , 2221 , 1.02059 , 0 , 0 , 0 , 1887 , 0.904865 , 2218 , 27.0171 , 0
SRI2 , ./data/Jabali/k3/70_3_0.90_1_0.svrp , 818.02 , 773.081 , 5.49361 , 60.23 , 1000.17 , 3 , 803 , 15.02 , 13.18 , 15.02 , 818.02 , 786.783 , 3.81856 , 28173 , 1251 , 7.4759 , 3860 , 202.127 , 0 , 0 , 0 , 1900 , 0.886513 , 2570 , 21.1488 , 0
ILS+SRI , ./data/Jabali/k3/70_3_0.90_1_0.svrp , 802.3 , 773.082 , 3.64184 , 60.243 , 1000.16 , 3 , 783 , 19.3 , 17.31 , 19.3 , 802.3 , 794.36 , 0.989644 , 54727 , 813 , 17.2982 , 737 , 19.5996 , 0 , 0 , 0 , 1904 , 0.897394 , 2348 , 106.849 , 0
ILS , ./data/Jabali/k3/70_3_0.90_1_1.svrp , 823.31 , 672.5 , 18.3175 , 0.027 , 1000.14 , 3 , 721 , 102.31 , 93.07 , 102.1 , 823.31 , 701.985 , 14.7363 , 14869 , 1018 , 4.1778 , 5095 , 1.89316 , 0 , 3973 , 6.96425 , 0 , 0 , 0 , 0 , 0
SRI1 , ./data/Jabali/k3/70_3_0.90_1_1.svrp , 749.94 , 722.149 , 3.70577 , 60.426 , 489.747 , 3 , 742 , 7.94 , 7.94 , 7.94 , 749.94 , 749.94 , 0 , 38164 , 665 , 8.93477 , 923 , 0.403696 , 0 , 0 , 0 , 2208 , 0.761334 , 1356 , 21.8058 , 1
SRI2 , ./data/Jabali/k3/70_3_0.90_1_1.svrp , 749.94 , 722.149 , 3.70577 , 60.403 , 1000.14 , 3 , 742 , 7.94 , 7.94 , 7.94 , 749.94 , 746.367 , 0.476442 , 44960 , 795 , 12.3312 , 1311 , 61.6248 , 0 , 0 , 0 , 2208 , 0.76588 , 1723 , 26.8304 , 0
ILS+SRI , ./data/Jabali/k3/70_3_0.90_1_1.svrp , 749.94 , 722.158 , 3.70454 , 60.179 , 444.384 , 3 , 742 , 7.94 , 7.94 , 7.94 , 749.94 , 749.94 , 0 , 28323 , 628 , 8.35388 , 471 , 15.6938 , 0 , 0 , 0 , 2268 , 0.791081 , 1439 , 53.785 , 1
ILS , ./data/Jabali/k3/70_3_0.90_1_2.svrp , 812.7 , 674.667 , 16.9845 , 0.023 , 1000.15 , 3 , 726 , 86.7 , 77.54 , 86.7 , 812.7 , 705.354 , 13.2086 , 19073 , 1198 , 5.83295 , 4588 , 1.59824 , 0 , 3940 , 8.64142 , 0 , 0 , 0 , 0 , 0
SRI1 , ./data/Jabali/k3/70_3_0.90_1_2.svrp , 769.95 , 730.901 , 5.07166 , 60.416 , 1000.21 , 3 , 707 , 62.95 , 54.97 , 62.95 , 769.95 , 748.615 , 2.77095 , 37440 , 971 , 9.51924 , 2683 , 1.1654 , 0 , 0 , 0 , 1761 , 0.467376 , 2138 , 27.6505 , 0
SRI2 , ./data/Jabali/k3/70_3_0.90_1_2.svrp , 768.09 , 730.899 , 4.84205 , 60.336 , 1000.16 , 3 , 701 , 67.09 , 58.47 , 67.09 , 768.09 , 753.309 , 1.9244 , 49979 , 1003 , 11.6495 , 2652 , 125.09 , 0 , 0 , 0 , 1743 , 0.465808 , 2060 , 34.905 , 0
ILS+SRI , ./data/Jabali/k3/70_3_0.90_1_2.svrp , 772.23 , 730.899 , 5.35213 , 60.423 , 1000.16 , 3 , 757 , 15.23 , 15.05 , 15.23 , 772.23 , 750.836 , 2.77037 , 31958 , 1018 , 9.59091 , 2464 , 134.077 , 0 , 0 , 0 , 1752 , 0.463608 , 2430 , 73.9875 , 0
ILS , ./data/Jabali/k3/70_3_0.90_1_3.svrp , 745.73 , 658.132 , 11.7467 , 0.037 , 1000.12 , 3 , 670 , 75.73 , 66.86 , 75.73 , 745.73 , 672.208 , 9.85905 , 15345 , 1004 , 4.11499 , 3688 , 1.54804 , 0 , 2839 , 6.93778 , 0 , 0 , 0 , 0 , 0
SRI1 , ./data/Jabali/k3/70_3_0.90_1_3.svrp , 713.84 , 697.726 , 2.25736 , 60.178 , 622.344 , 3 , 705 , 8.84 , 8.74 , 8.84 , 713.84 , 713.84 , 0 , 29558 , 689 , 6.96214 , 1922 , 0.905694 , 0 , 0 , 0 , 2284 , 0.77111 , 1496 , 18.1227 , 1
SRI2 , ./data/Jabali/k3/70_3_0.90_1_3.svrp , 713.84 , 697.725 , 2.25757 , 60.124 , 599.505 , 3 , 705 , 8.84 , 8.74 , 8.84 , 713.84 , 713.84 , 0 , 21907 , 650 , 4.63148 , 1883 , 110.708 , 0 , 0 , 0 , 2264 , 0.769026 , 1296 , 13.5288 , 1
ILS+SRI , ./data/Jabali/k3/70_3_0.90_1_3.svrp , 713.84 , 697.744 , 2.25486 , 60.231 , 832.852 , 3 , 705 , 8.84 , 8.74 , 8.84 , 713.84 , 713.84 , 0 , 21383 , 1002 , 5.97577 , 2058 , 118.453 , 0 , 0 , 0 , 2474 , 0.829915 , 2108 , 48.151 , 1
ILS , ./data/Jabali/k3/70_3_0.90_1_4.svrp , 767.78 , 700.062 , 8.82 , 0.038 , 1000.07 , 3 , 747 , 20.78 , 19.4 , 20.78 , 767.78 , 716.54 , 6.67381 , 14851 , 1340 , 4.48356 , 3730 , 1.65301 , 0 , 2882 , 6.55092 , 0 , 0 , 0 , 0 , 0
SRI1 , ./data/Jabali/k3/70_3_0.90_1_4.svrp , 746.62 , 732.866 , 1.84222 , 60.486 , 257.128 , 3 , 739 , 7.62 , 6.28 , 7.62 , 746.62 , 746.62 , 0 , 37940 , 546 , 6.90853 , 634 , 0.286143 , 0 , 0 , 0 , 2294 , 0.723851 , 799 , 19.2542 , 1
SRI2 , ./data/Jabali/k3/70_3_0.90_1_4.svrp , 746.62 , 732.868 , 1.84187 , 60.312 , 388.915 , 3 , 739 , 7.62 , 6.28 , 7.62 , 746.62 , 746.62 , 0 , 33167 , 605 , 7.28957 , 1268 , 50.5383 , 0 , 0 , 0 , 2349 , 0.740646 , 989 , 17.6426 , 1
ILS+SRI , ./data/Jabali/k3/70_3_0.90_1_4.svrp , 746.62 , 732.866 , 1.84214 , 60.308 , 135.296 , 3 , 739 , 7.62 , 6.28 , 7.62 , 746.62 , 746.62 , 0 , 9671 , 353 , 1.90895 , 391 , 14.3624 , 0 , 0 , 0 , 2304 , 0.721626 , 661 , 16.1813 , 1
ILS , ./data/Jabali/k3/70_3_0.90_1_5.svrp , 872.64 , 743.576 , 14.79 , 0.036 , 1000.14 , 3 , 755 , 117.64 , 94.83 , 117.64 , 872.64 , 760.081 , 12.8986 , 12643 , 1254 , 2.99929 , 4715 , 1.88026 , 0 , 1906 , 5.48435 , 0 , 0 , 0 , 0 , 0
SRI1 , ./data/Jabali/k3/70_3_0.90_1_5.svrp , 802.72 , 776.319 , 3.289 , 60.169 , 1000.19 , 3 , 797 , 5.72 , 5.72 , 5.72 , 802.72 , 794.746 , 0.993376 , 34473 , 1060 , 9.78231 , 2956 , 1.32192 , 0 , 0 , 0 , 2164 , 0.685068 , 1866 , 24.5117 , 0
SRI2 , ./data/Jabali/k3/70_3_0.90_1_5.svrp , 812.17 , 776.318 , 4.41438 , 60.217 , 1000.23 , 3 , 805 , 7.17 , 6.63 , 7.17 , 812.17 , 789.132 , 2.83665 , 23519 , 1207 , 5.96716 , 2422 , 192.873 , 0 , 0 , 0 , 2144 , 0.687649 , 1895 , 18.4674 , 0
ILS+SRI , ./data/Jabali/k3/70_3_0.90_1_5.svrp , 803.3 , 776.318 , 3.35886 , 60.208 , 1000.2 , 3 , 797 , 6.3 , 5.57 , 6.3 , 803.3 , 801.54 , 0.219096 , 36387 , 679 , 8.24517 , 2939 , 240.241 , 0 , 0 , 0 , 2154 , 0.685908 , 1750 , 65.8062 , 0
ILS , ./data/Jabali/k3/70_3_0.90_1_6.svrp , 816.44 , 699.037 , 14.3798 , 0.015 , 1000.09 , 3 , 721 , 95.44 , 89.4 , 95.44 , 816.44 , 720.49 , 11.7523 , 14200 , 1367 , 3.93644 , 3567 , 1.50588 , 0 , 2442 , 6.40161 , 0 , 0 , 0 , 0 , 0
SRI1 , ./data/Jabali/k3/70_3_0.90_1_6.svrp , 772.72 , 741.85 , 3.99496 , 60.701 , 1000.16 , 3 , 764 , 8.72 , 8.44 , 8.72 , 772.72 , 757.386 , 1.98436 , 26142 , 1462 , 8.00288 , 2371 , 1.08954 , 0 , 0 , 0 , 1435 , 0.448878 , 2312 , 19.9538 , 0
SRI2 , ./data/Jabali/k3/70_3_0.90_1_6.svrp , 783.42 , 741.85 , 5.30625 , 60.265 , 1000.17 , 3 , 720 , 63.42 , 56.01 , 63.42 , 783.42 , 753.42 , 3.82936 , 18752 , 1181 , 4.98811 , 2924 , 200.48 , 0 , 0 , 0 , 1416 , 0.442905 , 2093 , 15.0936 , 0
ILS+SRI , ./data/Jabali/k3/70_3_0.90_1_6.svrp , 777.2 , 741.85 , 4.54841 , 60.44 , 1000.15 , 3 , 762 , 15.2 , 15.2 , 15.2 , 777.2 , 759.877 , 2.22896 , 21652 , 1145 , 7.84101 , 1528 , 85.2693 , 0 , 0 , 0 , 1416 , 0.439205 , 2948 , 51.1434 , 0
ILS , ./data/Jabali/k3/70_3_0.90_1_7.svrp , 885.01 , 731.5 , 17.3456 , 0.025 , 1000.09 , 3 , 793 , 92.01 , 76.54 , 92.01 , 885.01 , 763.344 , 13.7474 , 15735 , 1504 , 4.87765 , 3830 , 1.5416 , 0 , 2914 , 7.04182 , 0 , 0 , 0 , 0 , 0
SRI1 , ./data/Jabali/k3/70_3_0.90_1_7.svrp , 821.28 , 787.718 , 4.0865 , 60.814 , 1000.15 , 3 , 810 , 11.28 , 10.06 , 11.28 , 821.28 , 801.025 , 2.46625 , 41397 , 956 , 15.2315 , 1823 , 0.725851 , 0 , 0 , 0 , 1557 , 0.566694 , 2290 , 30.7294 , 0
SRI2 , ./data/Jabali/k3/70_3_0.90_1_7.svrp , 836.89 , 787.717 , 5.87573 , 60.342 , 1000.15 , 3 , 825 , 11.89 , 11.73 , 11.89 , 836.89 , 798.346 , 4.60567 , 27042 , 1162 , 9.51983 , 2301 , 111.126 , 0 , 0 , 0 , 1548 , 0.563626 , 2431 , 21.0149 , 0
ILS+SRI , ./data/Jabali/k3/70_3_0.90_1_7.svrp , 819.11 , 787.717 , 3.83263 , 60.172 , 1000.15 , 3 , 807 , 12.11 , 11.65 , 12.11 , 819.11 , 810.668 , 1.03069 , 55264 , 840 , 16.5555 , 1179 , 48.039 , 0 , 0 , 0 , 1548 , 0.563314 , 2321 , 113.024 , 0
ILS , ./data/Jabali/k3/70_3_0.90_1_8.svrp , 783.05 , 684.927 , 12.5309 , 0.033 , 1000.07 , 3 , 768 , 15.05 , 15 , 15.05 , 783.05 , 709.323 , 9.41539 , 16063 , 900 , 4.70332 , 4338 , 1.52701 , 0 , 4234 , 7.4634 , 0 , 0 , 0 , 0 , 0
SRI1 , ./data/Jabali/k3/70_3_0.90_1_8.svrp , 761.66 , 738.065 , 3.09784 , 56.008 , 721.855 , 3 , 752 , 9.66 , 9.28 , 9.66 , 761.66 , 761.66 , 0 , 41845 , 796 , 8.53609 , 1074 , 0.436619 , 0 , 0 , 0 , 877 , 45.427 , 1475 , 24.0552 , 1
SRI2 , ./data/Jabali/k3/70_3_0.90_1_8.svrp , 761.66 , 738.065 , 3.09784 , 56.279 , 964.719 , 3 , 752 , 9.66 , 9.28 , 9.66 , 761.66 , 761.66 , 0 , 48349 , 748 , 13.3557 , 1688 , 58.5083 , 0 , 0 , 0 , 877 , 45.7922 , 1697 , 32.1594 , 1
ILS+SRI , ./data/Jabali/k3/70_3_0.90_1_8.svrp , 761.66 , 738.065 , 3.09784 , 55.591 , 400.937 , 3 , 752 , 9.66 , 9.28 , 9.66 , 761.66 , 761.66 , 0 , 26096 , 520 , 6.44752 , 764 , 29.1769 , 0 , 0 , 0 , 877 , 45.549 , 1390 , 48.9638 , 1
ILS , ./data/Jabali/k3/70_3_0.90_1_9.svrp , 794.66 , 711.07 , 10.5189 , 0.033 , 1000.1 , 3 , 719 , 75.66 , 65.95 , 75.66 , 794.66 , 733.784 , 7.66066 , 17243 , 1119 , 4.97348 , 6057 , 2.75051 , 0 , 3245 , 7.82296 , 0 , 0 , 0 , 0 , 0
SRI1 , ./data/Jabali/k3/70_3_0.90_1_9.svrp , 771.11 , 754.054 , 2.21192 , 60.096 , 80.414 , 3 , 750 , 21.11 , 20.9 , 21.11 , 771.11 , 771.11 , 0 , 3967 , 198 , 0.685811 , 415 , 0.183465 , 0 , 0 , 0 , 1605 , 0.575748 , 304 , 2.21982 , 1
SRI2 , ./data/Jabali/k3/70_3_0.90_1_9.svrp , 771.11 , 754.055 , 2.21172 , 60.113 , 129.356 , 3 , 750 , 21.11 , 20.9 , 21.11 , 771.11 , 771.11 , 0 , 11239 , 348 , 1.78861 , 476 , 24.9236 , 0 , 0 , 0 , 1614 , 0.57553 , 421 , 5.94306 , 1
ILS+SRI , ./data/Jabali/k3/70_3_0.90_1_9.svrp , 771.11 , 754.054 , 2.21192 , 60.115 , 100.752 , 3 , 750 , 21.11 , 20.9 , 21.11 , 771.11 , 771.11 , 0 , 2952 , 180 , 0.639312 , 331 , 20.6026 , 0 , 0 , 0 , 1605 , 0.572403 , 285 , 5.10669 , 1
