Algorithm , Instance , Model Solution Cost, Root Lower Bound , Root Gap (%), Root Time (s) , Time (s), K , Deterministic Cost , Model Recourse Cost , Optimal Recourse Cost , Classical Recourse Cost , Upper Bound , Lower Bound , Gap (%) , Node Count , CVRPSEP Cuts , CVRPSEP Time (s) , Partial Route Cuts , Partial Route Time (s) , Parada Path Cuts , Parada Set Cuts , Parada Time (s) , SRI Cuts , SRI Time (s) , Aggregated SRI Cuts , Aggregated SRI Time (s) , Solved
ILS , ./data/ccvrp/A-n32-k5-scen-H666.svrp , 893 , 823.686 , 7.7619 , 0.045 , 124.619 , 6 , 893 , 0 , 0 , 0 , 893 , 893 , 0 , 17445 , 2931 , 3.22892 , 234 , 0.074129 , 0 , 260 , 0.316289 , 0 , 0 , 0 , 0 , 1
SRI1 , ./data/ccvrp/A-n32-k5-scen-H666.svrp , 893 , 855.513 , 4.1979 , 60.075 , 1000.16 , 6 , 893 , 0 , 0 , 0 , 893 , 879.529 , 1.50853 , 29302 , 5267 , 11.0262 , 214 , 0.048071 , 0 , 0 , 0 , 4788 , 2.52709 , 4418 , 1.14662 , 0
SRI2 , ./data/ccvrp/A-n32-k5-scen-H666.svrp , 893 , 855.506 , 4.19863 , 60.081 , 1000.1 , 6 , 893 , 0 , 0 , 0 , 893 , 879.878 , 1.46942 , 27206 , 5775 , 9.48482 , 301 , 0.364459 , 0 , 0 , 0 , 4779 , 2.47964 , 4450 , 1.10943 , 0
ILS+SRI , ./data/ccvrp/A-n32-k5-scen-H666.svrp , 900.35 , 855.515 , 4.97968 , 60.072 , 1000.09 , 6 , 878 , 22.35 , 22.35 , 22.35 , 900.35 , 876.871 , 2.60773 , 37867 , 5301 , 13.8327 , 313 , 0.415952 , 0 , 0 , 0 , 4802 , 2.54694 , 3650 , 8.10092 , 0
ILS , ./data/ccvrp/A-n32-k5-scen-L666.svrp , 808.75 , 781.664 , 3.34909 , 0.049 , 6.548 , 5 , 796 , 12.75 , 12.29 , 12.75 , 808.75 , 808.75 , 0 , 930 , 831 , 0.19271 , 63 , 0.014118 , 0 , 41 , 0.012409 , 0 , 0 , 0 , 0 , 1
SRI1 , ./data/ccvrp/A-n32-k5-scen-L666.svrp , 808.75 , 798.485 , 1.26928 , 77.514 , 78.084 , 5 , 796 , 12.75 , 12.29 , 12.75 , 808.75 , 808.75 , 0 , 75 , 468 , 3.98364 , 13 , 0.001883 , 0 , 0 , 0 , 4209 , 38.9842 , 248 , 0.010416 , 1
SRI2 , ./data/ccvrp/A-n32-k5-scen-L666.svrp , 808.75 , 798.485 , 1.26928 , 77.298 , 77.964 , 5 , 796 , 12.75 , 12.29 , 12.75 , 808.75 , 808.75 , 0 , 192 , 542 , 3.98176 , 24 , 0.013592 , 0 , 0 , 0 , 4209 , 39.0144 , 313 , 0.014667 , 1
ILS+SRI , ./data/ccvrp/A-n32-k5-scen-L666.svrp , 808.75 , 798.485 , 1.26928 , 77.966 , 78.628 , 5 , 796 , 12.75 , 12.29 , 12.75 , 808.75 , 808.75 , 0 , 192 , 542 , 4.01054 , 24 , 0.013573 , 0 , 0 , 0 , 4209 , 39.3741 , 313 , 0.03552 , 1
ILS , ./data/ccvrp/A-n34-k5-scen-H666.svrp , 853.17 , 779.572 , 8.62639 , 0.057 , 1000.07 , 6 , 832 , 21.17 , 20.61 , 21.17 , 853.17 , 829.113 , 2.81971 , 34931 , 9237 , 12.1439 , 638 , 0.154025 , 0 , 722 , 0.975451 , 0 , 0 , 0 , 0 , 0
SRI1 , ./data/ccvrp/A-n34-k5-scen-H666.svrp , 861.44 , 803.251 , 6.7548 , 60.093 , 1000.09 , 6 , 840 , 21.44 , 20.88 , 21.44 , 861.44 , 826.111 , 4.10112 , 16410 , 8252 , 9.09802 , 524 , 0.095482 , 0 , 0 , 0 , 4436 , 1.36154 , 6722 , 0.981279 , 0
SRI2 , ./data/ccvrp/A-n34-k5-scen-H666.svrp , 865.33 , 803.246 , 7.17462 , 60.118 , 1000.13 , 6 , 835 , 30.33 , 29.77 , 30.33 , 865.33 , 821.464 , 5.06925 , 17971 , 7388 , 10.4909 , 601 , 0.541965 , 0 , 0 , 0 , 4425 , 1.37129 , 6146 , 1.0698 , 0
ILS+SRI , ./data/ccvrp/A-n34-k5-scen-H666.svrp , 885.22 , 803.246 , 9.26031 , 60.114 , 1000.1 , 6 , 862 , 23.22 , 22.02 , 23.22 , 885.22 , 824.291 , 6.88297 , 16025 , 8812 , 9.40573 , 644 , 0.582036 , 0 , 0 , 0 , 4425 , 1.37264 , 7156 , 4.31903 , 0
ILS , ./data/ccvrp/A-n34-k5-scen-L666.svrp , 794.28 , 776.491 , 2.23958 , 0.058 , 0.874 , 6 , 789 , 5.28 , 5.28 , 5.28 , 794.28 , 794.28 , 0 , 12 , 280 , 0.02468 , 7 , 0.001281 , 0 , 16 , 0.002056 , 0 , 0 , 0 , 0 , 1
SRI1 , ./data/ccvrp/A-n34-k5-scen-L666.svrp , 794.28 , 786.624 , 0.963942 , 66.637 , 67.099 , 6 , 789 , 5.28 , 5.28 , 5.28 , 794.28 , 794.28 , 0 , 12 , 471 , 4.60822 , 6 , 0.001051 , 0 , 0 , 0 , 2507 , 35.1778 , 236 , 0.009368 , 1
SRI2 , ./data/ccvrp/A-n34-k5-scen-L666.svrp , 794.28 , 786.624 , 0.963942 , 66.456 , 67.039 , 6 , 789 , 5.28 , 5.28 , 5.28 , 794.28 , 794.28 , 0 , 14 , 466 , 4.62764 , 6 , 0.002689 , 0 , 0 , 0 , 2507 , 34.999 , 233 , 0.009476 , 1
ILS+SRI , ./data/ccvrp/A-n34-k5-scen-L666.svrp , 794.28 , 786.624 , 0.963942 , 66.598 , 67.179 , 6 , 789 , 5.28 , 5.28 , 5.28 , 794.28 , 794.28 , 0 , 14 , 466 , 4.61812 , 6 , 0.002653 , 0 , 0 , 0 , 2507 , 35.1839 , 233 , 0.013887 , 1
ILS , ./data/ccvrp/A-n36-k5-scen-H666.svrp , 878.23 , 807.033 , 8.10686 , 0.076 , 1000.11 , 6 , 851 , 27.23 , 27.23 , 27.23 , 878.23 , 836.816 , 4.71564 , 21215 , 10076 , 9.05499 , 434 , 0.058727 , 0 , 539 , 0.654658 , 0 , 0 , 0 , 0 , 0
SRI1 , ./data/ccvrp/A-n36-k5-scen-H666.svrp , 878.23 , 829.854 , 5.50831 , 60.099 , 1000.15 , 6 , 851 , 27.23 , 27.23 , 27.23 , 878.23 , 837.862 , 4.59654 , 11737 , 8930 , 7.37071 , 411 , 0.06424 , 0 , 0 , 0 , 4647 , 1.81878 , 7064 , 0.949772 , 0
SRI2 , ./data/ccvrp/A-n36-k5-scen-H666.svrp , 946.56 , 829.39 , 12.3785 , 60.086 , 1000.19 , 6 , 849 , 97.56 , 97.04 , 97.56 , 946.56 , 834.319 , 11.8578 , 11467 , 8866 , 7.69304 , 577 , 0.834339 , 0 , 0 , 0 , 4329 , 1.60546 , 6808 , 0.988211 , 0
ILS+SRI , ./data/ccvrp/A-n36-k5-scen-H666.svrp , 878.23 , 829.392 , 5.56099 , 60.079 , 1000.1 , 6 , 851 , 27.23 , 27.23 , 27.23 , 878.23 , 840.33 , 4.31547 , 13083 , 9100 , 8.16022 , 443 , 0.751759 , 0 , 0 , 0 , 4348 , 1.62948 , 6743 , 4.08416 , 0
ILS , ./data/ccvrp/A-n36-k5-scen-L666.svrp , 829.91 , 792.948 , 4.45373 , 0.1 , 1000.08 , 5 , 816 , 13.91 , 13.89 , 13.91 , 829.91 , 820.744 , 1.10446 , 33905 , 6805 , 12.4952 , 228 , 0.047171 , 0 , 286 , 0.405929 , 0 , 0 , 0 , 0 , 0
SRI1 , ./data/ccvrp/A-n36-k5-scen-L666.svrp , 829.91 , 801.22 , 3.45698 , 60.078 , 658.337 , 5 , 816 , 13.91 , 13.89 , 13.91 , 829.91 , 829.91 , 0 , 19779 , 4634 , 8.72804 , 112 , 0.034555 , 0 , 0 , 0 , 2569 , 2.66299 , 4056 , 0.946066 , 1
SRI2 , ./data/ccvrp/A-n36-k5-scen-L666.svrp , 829.91 , 801.204 , 3.45892 , 60.052 , 1000.11 , 5 , 816 , 13.91 , 13.89 , 13.91 , 829.91 , 826.222 , 0.444361 , 17949 , 6112 , 9.06911 , 205 , 0.278227 , 0 , 0 , 0 , 2492 , 2.48665 , 5206 , 0.984768 , 0
ILS+SRI , ./data/ccvrp/A-n36-k5-scen-L666.svrp , 829.91 , 801.208 , 3.45844 , 60.079 , 872.863 , 5 , 816 , 13.91 , 13.89 , 13.91 , 829.91 , 829.91 , 0 , 21953 , 4973 , 9.47642 , 170 , 0.175767 , 0 , 0 , 0 , 2513 , 2.53802 , 4379 , 5.17167 , 1
ILS , ./data/ccvrp/A-n37-k5-scen-H666.svrp , 729.67 , 670.362 , 8.12799 , 0.065 , 1000.07 , 6 , 712 , 17.67 , 17.03 , 17.67 , 729.67 , 712.216 , 2.39198 , 36766 , 7829 , 13.3928 , 507 , 0.079828 , 0 , 548 , 0.84012 , 0 , 0 , 0 , 0 , 0
SRI1 , ./data/ccvrp/A-n37-k5-scen-H666.svrp , 731.74 , 684.751 , 6.42152 , 60.061 , 1000.12 , 6 , 676 , 55.74 , 52.78 , 55.74 , 731.74 , 711.645 , 2.74619 , 28725 , 5796 , 12.8584 , 367 , 0.085964 , 0 , 0 , 0 , 4968 , 2.96356 , 4056 , 1.69773 , 0
SRI2 , ./data/ccvrp/A-n37-k5-scen-H666.svrp , 729.67 , 684.758 , 6.15514 , 60.096 , 1000.1 , 6 , 712 , 17.67 , 17.03 , 17.67 , 729.67 , 719.413 , 1.40569 , 34646 , 6189 , 13.547 , 358 , 0.518465 , 0 , 0 , 0 , 4974 , 2.94596 , 4404 , 1.82943 , 0
ILS+SRI , ./data/ccvrp/A-n37-k5-scen-H666.svrp , 734.27 , 684.763 , 6.74229 , 60.114 , 1000.13 , 6 , 679 , 55.27 , 52.5 , 55.27 , 734.27 , 710.067 , 3.29626 , 26053 , 5926 , 12.942 , 342 , 0.507172 , 0 , 0 , 0 , 5006 , 2.97668 , 3883 , 8.26013 , 0
ILS , ./data/ccvrp/A-n37-k5-scen-L666.svrp , 687.48 , 662.299 , 3.66279 , 0.092 , 3.815 , 5 , 669 , 18.48 , 18.48 , 18.48 , 687.48 , 687.48 , 0 , 450 , 641 , 0.20387 , 31 , 0.00357 , 0 , 37 , 0.006316 , 0 , 0 , 0 , 0 , 1
SRI1 , ./data/ccvrp/A-n37-k5-scen-L666.svrp , 687.48 , 672.761 , 2.14103 , 60.141 , 62.731 , 5 , 669 , 18.48 , 18.48 , 18.48 , 687.48 , 687.48 , 0 , 489 , 886 , 8.20029 , 18 , 0.002467 , 0 , 0 , 0 , 3814 , 7.89717 , 592 , 0.038362 , 1
SRI2 , ./data/ccvrp/A-n37-k5-scen-L666.svrp , 687.48 , 672.761 , 2.14106 , 60.083 , 63.88 , 5 , 669 , 18.48 , 18.48 , 18.48 , 687.48 , 687.48 , 0 , 649 , 1013 , 8.29499 , 33 , 0.02549 , 0 , 0 , 0 , 3813 , 7.90021 , 689 , 0.050403 , 1
ILS+SRI , ./data/ccvrp/A-n37-k5-scen-L666.svrp , 687.48 , 672.707 , 2.1488 , 60.154 , 65.05 , 5 , 669 , 18.48 , 18.48 , 18.48 , 687.48 , 687.48 , 0 , 871 , 1039 , 7.88707 , 21 , 0.017376 , 0 , 0 , 0 , 3759 , 7.35299 , 716 , 0.179076 , 1
