Algorithm , Instance , Model Solution Cost, Root Lower Bound , Root Gap (%), Root Time (s) , Time (s), K , Deterministic Cost , Model Recourse Cost , Optimal Recourse Cost , Classical Recourse Cost , Upper Bound , Lower Bound , Gap (%) , Node Count , CVRPSEP Cuts , CVRPSEP Time (s) , Partial Route Cuts , Partial Route Time (s) , Parada Set Cuts , Parada Time (s) , SRI Cuts , SRI Time (s) , Aggregated SRI Cuts , Aggregated SRI Time (s) , Solved
SVRP-SRI-PR-SCENOPT_CUTS-Basic-ProjectedSRI , ./data/Jabali/k2/80_2_0.93_1_9.svrp , 750.2 , 738.608 , 1.54521 , 60.278 , 75.687 , 2 , 747 , 3.2 , 3.2 , 3.69 , 750.2 , 750.144 , 0.00750335 , 2661 , 189 , 0.90297 , 90 , 3.47914 , 0 , 0 , 1909 , 1.30093 , 123 , 2.36891 , 1
SVRP-SET-PR-SCENOPT_CUTS-Basic , ./data/Jabali/k2/80_2_0.95_1_0.svrp , 826.9 , 788.375 , 4.65897 , 0.175 , 1800.21 , 2 , 783 , 43.9 , 43.9 , 108.98 , 826.9 , 805.8 , 2.5517 , 17067 , 782 , 3.65831 , 9412 , 1008.68 , 908 , 11.0197 , 0 , 0 , 0 , 0 , 0
SVRP-SRI-PR-SCENOPT_CUTS-Basic , ./data/Jabali/k2/80_2_0.95_1_0.svrp , 819.96 , 799.197 , 2.53218 , 60.738 , 1800.28 , 2 , 772 , 47.96 , 47.96 , 75.69 , 819.96 , 816.271 , 0.449911 , 32318 , 851 , 7.55047 , 7379 , 682.33 , 0 , 0 , 930 , 0.945209 , 1813 , 31.5522 , 0
SVRP-SRI-PR-SCENOPT_CUTS-Basic-ProjectedSRI , ./data/Jabali/k2/80_2_0.95_1_0.svrp , 819.56 , 800.026 , 2.38352 , 60.148 , 723.353 , 2 , 772 , 47.56 , 47.56 , 80.13 , 819.56 , 819.479 , 0.00982462 , 47359 , 974 , 8.52892 , 862 , 127.476 , 0 , 0 , 930 , 0.938413 , 863 , 34.9661 , 1
SVRP-SET-PR-SCENOPT_CUTS-Basic , ./data/Jabali/k2/80_2_0.95_1_1.svrp , 789.56 , 772 , 2.22402 , 0.094 , 293.232 , 2 , 771 , 18.56 , 18.56 , 45.86 , 789.56 , 789.496 , 0.00804339 , 6205 , 363 , 0.869707 , 2394 , 227.177 , 268 , 2.7259 , 0 , 0 , 0 , 0 , 1
SVRP-SRI-PR-SCENOPT_CUTS-Basic , ./data/Jabali/k2/80_2_0.95_1_1.svrp , 789.56 , 782.128 , 0.941222 , 60.215 , 79.123 , 2 , 771 , 18.56 , 18.56 , 45.86 , 789.56 , 789.483 , 0.00976062 , 1369 , 194 , 3.16927 , 226 , 12.593 , 0 , 0 , 766 , 32.5418 , 143 , 1.09936 , 1
SVRP-SRI-PR-SCENOPT_CUTS-Basic-ProjectedSRI , ./data/Jabali/k2/80_2_0.95_1_1.svrp , 789.56 , 782.62 , 0.878939 , 60.243 , 72.433 , 2 , 771 , 18.56 , 18.56 , 45.86 , 789.56 , 789.481 , 0.00999885 , 1130 , 195 , 3.34317 , 94 , 5.23637 , 0 , 0 , 766 , 33.4445 , 121 , 0.972329 , 1
SVRP-SET-PR-SCENOPT_CUTS-Basic , ./data/Jabali/k2/80_2_0.95_1_2.svrp , 766.1 , 752.496 , 1.7757 , 0.112 , 82.663 , 2 , 718 , 48.1 , 48.1 , 68.49 , 766.1 , 766.1 , 0 , 2254 , 157 , 0.261575 , 787 , 71.6774 , 60 , 0.938259 , 0 , 0 , 0 , 0 , 1
SVRP-SRI-PR-SCENOPT_CUTS-Basic , ./data/Jabali/k2/80_2_0.95_1_2.svrp , 766.1 , 759.138 , 0.908798 , 60.163 , 75.45 , 2 , 718 , 48.1 , 48.1 , 68.49 , 766.1 , 766.046 , 0.00705696 , 928 , 136 , 0.416144 , 177 , 11.0921 , 0 , 0 , 2238 , 1.57545 , 48 , 0.770007 , 1
SVRP-SRI-PR-SCENOPT_CUTS-Basic-ProjectedSRI , ./data/Jabali/k2/80_2_0.95_1_2.svrp , 766.1 , 759.225 , 0.897466 , 60.095 , 64.931 , 2 , 718 , 48.1 , 48.1 , 68.49 , 766.1 , 766.04 , 0.0077751 , 455 , 129 , 0.372617 , 18 , 1.23205 , 0 , 0 , 2226 , 1.51067 , 44 , 0.372078 , 1
SVRP-SET-PR-SCENOPT_CUTS-Basic , ./data/Jabali/k2/80_2_0.95_1_3.svrp , 771.42 , 754.997 , 2.12891 , 0.075 , 66.468 , 2 , 756 , 15.42 , 15.42 , 16.7 , 771.42 , 771.38 , 0.00518524 , 3993 , 260 , 0.791506 , 827 , 41.018 , 592 , 1.86069 , 0 , 0 , 0 , 0 , 1
SVRP-SRI-PR-SCENOPT_CUTS-Basic , ./data/Jabali/k2/80_2_0.95_1_3.svrp , 771.42 , 760.963 , 1.3556 , 60.414 , 70.768 , 2 , 756 , 15.42 , 15.42 , 16.7 , 771.42 , 771.354 , 0.00853763 , 1547 , 132 , 0.681577 , 154 , 4.95031 , 0 , 0 , 1171 , 1.97228 , 189 , 1.181 , 1
SVRP-SRI-PR-SCENOPT_CUTS-Basic-ProjectedSRI , ./data/Jabali/k2/80_2_0.95_1_3.svrp , 771.42 , 761.455 , 1.29183 , 60.097 , 68.381 , 2 , 756 , 15.42 , 15.42 , 16.7 , 771.42 , 771.343 , 0.00992066 , 1569 , 153 , 0.665845 , 88 , 3.4696 , 0 , 0 , 1186 , 1.95844 , 132 , 1.18254 , 1
SVRP-SET-PR-SCENOPT_CUTS-Basic , ./data/Jabali/k2/80_2_0.95_1_4.svrp , 806.79 , 774.5 , 4.00228 , 0.057 , 1800.2 , 2 , 766 , 40.79 , 40.79 , 60.43 , 806.79 , 796.434 , 1.28364 , 20967 , 565 , 4.1837 , 9195 , 921.98 , 257 , 12.1125 , 0 , 0 , 0 , 0 , 0
SVRP-SRI-PR-SCENOPT_CUTS-Basic , ./data/Jabali/k2/80_2_0.95_1_4.svrp , 806.29 , 791.452 , 1.8403 , 60.435 , 117.917 , 2 , 786 , 20.29 , 20.29 , 20.67 , 806.29 , 806.21 , 0.00992199 , 6452 , 240 , 2.10497 , 480 , 29.9344 , 0 , 0 , 957 , 1.71795 , 186 , 5.08427 , 1
SVRP-SRI-PR-SCENOPT_CUTS-Basic-ProjectedSRI , ./data/Jabali/k2/80_2_0.95_1_4.svrp , 806.29 , 787.893 , 2.28173 , 60.422 , 104.515 , 2 , 786 , 20.29 , 20.29 , 20.67 , 806.29 , 806.21 , 0.00992174 , 5787 , 244 , 2.05551 , 143 , 6.63523 , 0 , 0 , 932 , 1.67435 , 151 , 4.93757 , 1
SVRP-SET-PR-SCENOPT_CUTS-Basic , ./data/Jabali/k2/80_2_0.95_1_5.svrp , 739.44 , 716.5 , 3.10235 , 0.204 , 380.725 , 2 , 711 , 28.44 , 28.44 , 41.81 , 739.44 , 739.368 , 0.00976606 , 11307 , 518 , 2.9286 , 1826 , 204.306 , 289 , 4.89291 , 0 , 0 , 0 , 0 , 1
SVRP-SRI-PR-SCENOPT_CUTS-Basic , ./data/Jabali/k2/80_2_0.95_1_5.svrp , 739.44 , 727.901 , 1.56047 , 60.191 , 106.494 , 2 , 711 , 28.44 , 28.44 , 41.96 , 739.44 , 739.389 , 0.00696454 , 2337 , 242 , 0.806181 , 434 , 29.2046 , 0 , 0 , 1190 , 1.20576 , 148 , 2.23054 , 1
SVRP-SRI-PR-SCENOPT_CUTS-Basic-ProjectedSRI , ./data/Jabali/k2/80_2_0.95_1_5.svrp , 739.44 , 728.091 , 1.5348 , 60.4 , 66.168 , 2 , 711 , 28.44 , 28.44 , 41.81 , 739.44 , 739.366 , 0.00995872 , 1163 , 160 , 0.541604 , 30 , 2.00952 , 0 , 0 , 1192 , 1.19877 , 66 , 0.812685 , 1
SVRP-SET-PR-SCENOPT_CUTS-Basic , ./data/Jabali/k2/80_2_0.95_1_6.svrp , 750.87 , 739.651 , 1.49413 , 0.107 , 1293.7 , 2 , 743 , 7.87 , 7.87 , 8.87 , 750.87 , 750.797 , 0.00968197 , 17640 , 386 , 2.20441 , 8393 , 817.626 , 237 , 7.44815 , 0 , 0 , 0 , 0 , 1
SVRP-SRI-PR-SCENOPT_CUTS-Basic , ./data/Jabali/k2/80_2_0.95_1_6.svrp , 750.87 , 742.182 , 1.15707 , 60.159 , 82.734 , 2 , 743 , 7.87 , 7.87 , 8.87 , 750.87 , 750.811 , 0.00785728 , 2482 , 203 , 3.13383 , 331 , 10.9618 , 0 , 0 , 657 , 21.1775 , 144 , 2.2181 , 1
SVRP-SRI-PR-SCENOPT_CUTS-Basic-ProjectedSRI , ./data/Jabali/k2/80_2_0.95_1_6.svrp , 750.87 , 742.687 , 1.0898 , 60.299 , 74.696 , 2 , 743 , 7.87 , 7.87 , 8.87 , 750.87 , 750.844 , 0.00344692 , 2578 , 194 , 3.26862 , 73 , 4.2878 , 0 , 0 , 664 , 22.6022 , 94 , 2.13212 , 1
SVRP-SET-PR-SCENOPT_CUTS-Basic , ./data/Jabali/k2/80_2_0.95_1_7.svrp , 744.76 , 720.58 , 3.24668 , 0.073 , 1800.07 , 2 , 733 , 11.76 , 11.76 , 18.15 , 744.76 , 735.44 , 1.25143 , 39226 , 1327 , 9.82581 , 6005 , 637.758 , 2176 , 22.1283 , 0 , 0 , 0 , 0 , 0
SVRP-SRI-PR-SCENOPT_CUTS-Basic , ./data/Jabali/k2/80_2_0.95_1_7.svrp , 742.65 , 724.744 , 2.41106 , 60.396 , 1408.83 , 2 , 721 , 21.65 , 21.65 , 40.13 , 742.65 , 742.577 , 0.009801 , 36844 , 719 , 10.5451 , 2910 , 164.104 , 0 , 0 , 836 , 1.60122 , 2445 , 35.7895 , 1
SVRP-SRI-PR-SCENOPT_CUTS-Basic-ProjectedSRI , ./data/Jabali/k2/80_2_0.95_1_7.svrp , 742.65 , 724.885 , 2.39208 , 60.115 , 684.492 , 2 , 721 , 21.65 , 21.65 , 40.13 , 742.65 , 742.579 , 0.00955763 , 53509 , 852 , 12.5401 , 749 , 53.9162 , 0 , 0 , 864 , 1.59332 , 872 , 42.3238 , 1
SVRP-SET-PR-SCENOPT_CUTS-Basic , ./data/Jabali/k2/80_2_0.95_1_8.svrp , 792.2 , 781.092 , 1.40218 , 0.103 , 869.491 , 2 , 782 , 10.2 , 10.2 , 30.06 , 792.2 , 792.123 , 0.00974411 , 18921 , 623 , 2.87214 , 4911 , 524.578 , 400 , 7.78124 , 0 , 0 , 0 , 0 , 1
SVRP-SRI-PR-SCENOPT_CUTS-Basic , ./data/Jabali/k2/80_2_0.95_1_8.svrp , 792.2 , 781.956 , 1.29306 , 60.308 , 142.662 , 2 , 782 , 10.2 , 10.2 , 30.06 , 792.2 , 792.135 , 0.0082436 , 3450 , 334 , 0.825445 , 721 , 54.5631 , 0 , 0 , 1296 , 0.921707 , 335 , 3.44933 , 1
SVRP-SRI-PR-SCENOPT_CUTS-Basic-ProjectedSRI , ./data/Jabali/k2/80_2_0.95_1_8.svrp , 792.2 , 780.414 , 1.48777 , 60.635 , 101.238 , 2 , 782 , 10.2 , 10.2 , 30.06 , 792.2 , 792.122 , 0.00982536 , 6573 , 285 , 1.47122 , 141 , 15.0562 , 0 , 0 , 1325 , 0.968802 , 138 , 5.20959 , 1
SVRP-SET-PR-SCENOPT_CUTS-Basic , ./data/Jabali/k2/80_2_0.95_1_9.svrp , 730.07 , 715.815 , 1.95252 , 0.176 , 1756.28 , 2 , 723 , 7.07 , 7.07 , 8.98 , 730.07 , 730 , 0.00958826 , 27064 , 1009 , 4.81874 , 6423 , 608.703 , 1175 , 12.7255 , 0 , 0 , 0 , 0 , 1
SVRP-SRI-PR-SCENOPT_CUTS-Basic , ./data/Jabali/k2/80_2_0.95_1_9.svrp , 730.07 , 719.446 , 1.45522 , 60.592 , 128.555 , 2 , 723 , 7.07 , 7.07 , 8.98 , 730.07 , 730.065 , 0.000693877 , 6883 , 240 , 1.69775 , 592 , 25.454 , 0 , 0 , 1676 , 1.07725 , 446 , 5.75007 , 1
SVRP-SRI-PR-SCENOPT_CUTS-Basic-ProjectedSRI , ./data/Jabali/k2/80_2_0.95_1_9.svrp , 730.07 , 718.742 , 1.55166 , 60.189 , 97.395 , 2 , 723 , 7.07 , 7.07 , 8.98 , 730.07 , 730.022 , 0.006585 , 6979 , 304 , 1.62385 , 171 , 8.84256 , 0 , 0 , 1626 , 1.03294 , 234 , 5.35583 , 1
